"species","dim","repSeed","repVeg","repFlow","repPost","repDorm","surv.1","primitive","irreducible","ergodic","F0","C0","F0C0","survPlast","fecPlast","cloPlast","lambda","lambdaAway","R0","T","KeyfitzH1","KeyfitzH2","DemetriusH","lifespanFun","lifespanDoak","La","lifespanFunReprod","lifespanDoakReprod","rho","periodOscillation","react","firstStepAtt","maxAmp","maxAtt","inertiaUp","inertiaLow","inertiaTotal","KreissUp","KreissLow","KreissTotal","vSeed","vVeg","vFlow","vPost","vDorm","wSeed","wVeg","wFlow","wPost","wDorm","surv>1","prob1stReprod"
"Chamaecrista_keyensis",8,1,4,3,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.671875,0.09375,NA,0.963092688696785,0.0369073113032152,0.0953633823708792,62.4922681736881,1.35147039559534,0.922837210979065,0.683822936267933,3.76763865453926,25,4.38245656436538,-0.614817909826112,20.6175434356346,2.38986079059034,12.436304894018,7.26364147719374,0.183307036873978,7.26364147719374,0.0292220934445439,4.38250751286983,0.0338159286034893,4.34869158426634,4.47406231771019,0.03381704476046,4.44024527294973,0.00219598971907699,0.357754394534272,0.640049615746652,0,0,0.452875629294798,0.439963638116935,0.107160732588267,0,0,0,0.202233409536262
"Chamaedorea_radicalis",5,1,2,2,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.48,0.08,NA,1.1200424769999,0.120042476999896,13.719825375334,23.1006456254559,1.25246634562128,0.549986035210436,1.15698842874128,26.9460076517793,151,6.4774600096946,20.4685476420847,144.522539990305,1.38697773484905,14.5963127728176,4.81678160497167,0.191957005573477,4.81678160497167,0.100788099896315,3.61837684838725,0.140012121727256,3.47836472665999,3.68552586506101,0.140012886690292,3.54551297837072,0.0170198457470809,0.279141883847287,0.703838270405632,0,0,0.476205152894451,0.308565867700367,0.215228979405183,0,0,0,0.643520762643399
"Chamaedorea_radicalis_2",5,1,2,2,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.56,0.08,NA,1.19327887024267,0.193278870242674,26.4782080905837,18.5412096195437,1.22961352946258,0.427833968167668,0.609974367660521,29.9128142620368,164,5.58185153394272,24.330962728094,158.418148466057,1.44601439616102,10.1334697268337,4.59238836508145,0.338981951400629,4.59238836508145,0.153106898721072,3.43754995484181,0.215147469346277,3.22240248549554,3.45944304879663,0.215148234165253,3.24429481463138,0.0264812218711294,0.280437947733832,0.693080830395038,0,0,0.435258869537628,0.353671092620878,0.211070037841494,0,0,0,0.682260896603442
"Chamaelirium_luteum",24,NA,5,19,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.404513888888889,0.147569444444444,NA,30.5441248463189,29.5441248463189,0.279140961358866,0.373200954688003,1.81373023998664,1.8042354804192,4.97966985952369,6.37263858534825,65,6.3439459550062,0.0286926303420474,58.6560540449938,1.04973758381904,NA,2182.68391500288,0.0147436962841734,2182.68391500288,2.76946376650169e-05,1116.1736979573,6.49532314516393e-05,1116.17363300407,1116.17312887171,6.59876755254647e-05,1116.17306288404,0,0.000877971245434521,0.999122028754565,0,0,0,0.0185452912561824,0.981454708743818,0,0,0,0.115019919295877
"Cheirolophus_metlesicsii",3,NA,1,2,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.666666666666667,0.333333333333333,NA,0.926523637221054,0.0734763627789464,0.169696493484128,23.2421805372138,0.886558989967867,0.85608228087877,0.950108297625645,4.48247242087738,17,2.45560407569141,2.02686834518597,14.5443959243086,2.22309667202534,NA,1.01238647598173,0.883949385745244,1.0201236823529,0.837125040061527,1.02012937867362,0.837123287299014,0.18300609137461,1.02012933421029,0.837123516695987,0.183005817514303,0,0.291636192857979,0.708363807142021,0,0,0,0.0865228547933002,0.9134771452067,0,0,0,0.736535662299855
"Chlorocardium_rodiei",15,NA,11,4,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.226666666666667,0.0177777777777778,NA,0.997839264867524,0.00216073513247583,0.496763862115661,323.447488043153,0.843390219029222,0.843390219029225,0.526793043309257,1.68814613996546,8,206.377894829277,-204.689748689311,-198.377894829277,1.0110339936167,443.73585080777,126.264824843034,0.281608481339233,199.070537286182,0.000297607895562171,81.1123100057346,0.00489877899506659,81.1074112267395,171.145762578524,0.00489977841888385,171.140862800105,0,0.31964468347499,0.68035531652501,0,0,0,0.995312623184746,0.00468737681525403,0,0,0,3.77477454090161e-05
"Choerospodnias_axillaris",6,NA,4,2,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.472222222222222,0.0555555555555556,NA,0.985110749809027,0.014889250190973,0.000462055767793867,511.947109808157,0.0448287417024872,0.044629179097825,0.00294939062305293,1.09029908799126,3,4.96044897579004,-3.87014988779878,-1.96044897579004,1.03164762433369,NA,6.27127457618105,0.0832393718329604,6.75390191090904,6.22410856930036e-06,6.75231602132015,1.3978221329377e-05,6.75230204309882,6.75230980275854,1.50694623371488e-05,6.75229473329621,0,0.00941069295177014,0.99058930704823,0,0,0,0.85189498607659,0.14810501392341,0,0,0,2.4748951458829e-06
"Cimicifuga_elata",5,NA,3,1,NA,1,NA,TRUE,TRUE,TRUE,0,1,0,0.8,0.04,NA,1.15407836811617,0.15407836811617,3.22921444068605,8.18019483824124,1.19633850369675,0.539459713732697,1.61215092327709,7.19864547579615,38,5.83495490751316,1.36369056828299,32.1650450924868,3.9728734207718,5.34096077901232,3.35355562232531,0.646980904961248,3.4406715581421,0.560087619542032,3.29539247238744,0.572435495255274,2.72295697713217,3.29539039517507,0.572435977123641,2.72295441805143,0,0.373226900097968,0.4872547710277,0,0.139518328874332,0,0.76397720118167,0.107595255949086,0,0.128427542869243,0,0.31058670904619
"Cimicifuga_rubifolia",6,NA,1,5,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.861111111111111,0.138888888888889,NA,0.969778194983919,0.0302218050160806,0.691289426559327,12.0306931406384,1.00280225902684,0.411556049071219,1.40238373102483,9.8976489982578,44,2.55400155400156,7.34364744425624,41.4459984459984,1.87858125254247,NA,1.08684646185252,0.515324022116508,1.08684646185252,0.418624274788851,1.07183721704748,0.418622048887422,0.653215168160061,1.07183707044947,0.418622760613444,0.653214309836024,0,0.171653070265473,0.828346929734527,0,0,0,0.117374566398681,0.882625433601319,0,0,0,1
"Cirsium_acaule",3,NA,1,2,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.777777777777778,0.222222222222222,NA,0.982857643428733,0.0171423565712671,0.465843737353994,44.179374663469,1.45308630757789,0.440035816245683,1.61575613396283,19.1751716671116,125,2.47492625368731,16.7002454134243,122.525073746313,3.21196078431373,NA,1.01133669422603,0.72848800107227,1.01694805121698,0.605635148445122,1.01694810124127,0.605634096781371,0.4113140044599,1.01694807609084,0.605634669567404,0.41131340652344,0,0.232425515214566,0.767574484785434,0,0,0,0.0383031396296335,0.961696860370367,0,0,0,0.581120943952802
"Cirsium_acaule_2",4,1,2,1,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.625,0.125,NA,1.04765432433654,0.0476543243365366,3.2312117083797,25.1936474138111,1.42510184546536,0.346322823103398,0.373966279311414,66.6580040669852,425,24.5799889758972,42.0780150910881,400.420011024103,4.36121055698943,11.1715151367916,10.6800494591437,0.230992221745713,10.6800494591437,0.101080255337607,3.39439923977893,0.106065773287441,3.28833346649149,4.51176755295178,0.106066787955981,4.4057007649958,0.0188640049152788,0.37743546135948,0.603700533725241,0,0,0.256716011508101,0.716904072175414,0.0263799163164855,0,0,0,0.515868098581855
"Cirsium_arvense",3,NA,2,1,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.444444444444444,0.222222222222222,NA,7.94892790526715,6.94892790526715,20.8928571428571,1.46616159862012,0.129658640536006,0.128885560927842,NA,1.09047619047619,4,3.11111111111112,-2.02063492063493,0.888888888888876,1.08550417872945,NA,139.807532945872,0.00754818771978577,139.807532945872,0.000332354970809895,70.9563920357228,0.0170594052292457,70.9393326304936,70.956357860397,0.017060370320192,70.9392974900768,0,0.0310940378735142,0.968905962126486,0,0,0,0.992957149176824,0.00704285082317558,0,0,0,0.0166666666666666
"Cirsium_dissectum",6,NA,4,2,NA,NA,NA,TRUE,TRUE,TRUE,0,0,0,0.305555555555556,0.111111111111111,0.277777777777778,0.945636556234983,0.0543634437650173,0.000107354695170366,163.503883664451,0.716099203475588,0.708621773435998,0.000896253646779186,1.93434466444542,8,5.07830271686687,-3.14395805242145,2.92169728313313,3.15971665330126,NA,2.26104308880873,0.475869928074332,2.26104308880873,0.260904394764358,1.71907376769348,0.260903727446894,1.45817004024658,1.71907345960597,0.260904779908352,1.45816867969762,0,0.492274780828585,0.507725219171415,0,0,0,0.901830174797414,0.0981698252025858,0,0,0,0.0226009884569192
"Cirsium_palustre",6,1,3,2,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.25,0.111111111111111,NA,1.40314180496533,0.403141804965333,0.0375091938427614,9.69304628599219,0.28805663762741,0.281996392438938,NA,1.28252372628526,5,3.15389291877234,-1.87136919248708,1.84610708122766,1.06311371075282,5.84451844778502,87.2160337372484,0.0700805860477014,87.2160337372484,0.00245139762422043,32.6947810383157,0.0254443612700544,32.6693366770456,32.6947789747167,0.0254453605085049,32.6693336142082,0.00041839205400408,0.0904692136502927,0.909112394295703,0,0,0.114324654506678,0.871823186715845,0.0138521587774769,0,0,0,0.0370892656320265
